<역별 승하차인원>,,,,,,,,,,,,,,,,,,,,,
전체,구분,05~06,06~07,07~08,08~09,09~10,10~11,11~12,12~13,13~14,14~15,15~16,16~17,17~18,18~19,19~20,20~21,21~22,22~23,23~24,24~01
쌍 문,승차," 23,608 "," 62,191 "," 165,423 "," 176,839 "," 101,813 "," 66,952 "," 56,694 "," 56,052 "," 53,626 "," 46,856 "," 42,062 "," 43,711 "," 48,849 "," 47,059 "," 38,393 "," 27,681 "," 22,572 "," 18,032 "," 8,626 "," 1,185 "
,하차," 1,247 "," 11,647 "," 20,839 "," 32,417 "," 25,370 "," 24,432 "," 25,871 "," 30,053 "," 35,003 "," 37,890 "," 43,968 "," 52,600 "," 63,842 "," 90,319 "," 108,595 "," 86,856 "," 75,981 "," 78,751 "," 61,779 "," 17,490 "
수 유,승차," 24,880 "," 63,740 "," 181,985 "," 188,023 "," 113,610 "," 81,333 "," 74,354 "," 74,171 "," 75,024 "," 69,455 "," 68,982 "," 73,220 "," 79,480 "," 92,740 "," 65,671 "," 49,814 "," 44,897 "," 35,823 "," 19,654 "," 2,634 "
,하차," 2,817 "," 17,952 "," 29,060 "," 92,897 "," 63,247 "," 55,060 "," 53,266 "," 56,269 "," 59,236 "," 64,371 "," 69,939 "," 80,879 "," 93,811 "," 129,689 "," 150,841 "," 117,500 "," 100,328 "," 98,992 "," 74,459 "," 16,874 "
미 아,승차," 12,994 "," 27,378 "," 78,046 "," 80,872 "," 47,287 "," 32,629 "," 30,567 "," 31,127 "," 33,110 "," 29,552 "," 29,860 "," 29,197 "," 33,712 "," 32,994 "," 25,905 "," 18,470 "," 17,437 "," 12,616 "," 5,888 ", 805 
,하차," 1,473 "," 8,778 "," 18,667 "," 32,350 "," 23,283 "," 20,408 "," 21,702 "," 24,911 "," 27,742 "," 28,154 "," 27,696 "," 31,893 "," 35,796 "," 48,788 "," 54,167 "," 38,817 "," 34,015 "," 33,935 "," 24,351 "," 5,945 "
미아3거,승차," 19,977 "," 46,842 "," 149,182 "," 157,048 "," 90,141 "," 59,326 "," 52,971 "," 54,524 "," 57,155 "," 54,006 "," 51,673 "," 53,741 "," 61,353 "," 60,230 "," 51,185 "," 52,479 "," 35,092 "," 26,048 "," 14,039 "," 1,998 "
,하차," 2,703 "," 13,622 "," 24,264 "," 43,556 "," 47,638 "," 32,995 "," 37,454 "," 41,611 "," 46,666 "," 48,735 "," 57,348 "," 67,520 "," 80,932 "," 109,298 "," 122,356 "," 86,694 "," 75,332 "," 74,752 "," 51,365 "," 10,853 "
길 음,승차," 11,443 "," 31,624 "," 103,519 "," 106,975 "," 61,441 "," 43,565 "," 37,317 "," 40,078 "," 40,972 "," 37,935 "," 40,139 "," 44,046 "," 51,916 "," 62,144 "," 41,243 "," 32,382 "," 27,576 "," 25,785 "," 15,294 "," 1,775 "
,하차," 3,474 "," 17,873 "," 26,713 "," 67,012 "," 47,575 "," 42,498 "," 39,088 "," 34,641 "," 38,795 "," 37,211 "," 38,005 "," 44,036 "," 54,223 "," 73,664 "," 78,697 "," 58,128 "," 51,434 "," 52,666 "," 39,807 "," 8,919 "
성신여대,승차," 7,795 "," 23,379 "," 64,218 "," 71,858 "," 48,151 "," 36,722 "," 38,152 "," 41,672 "," 42,420 "," 42,452 "," 46,335 "," 46,749 "," 58,700 "," 65,713 "," 46,027 "," 39,620 "," 39,969 "," 39,752 "," 18,422 "," 2,200 "
,하차," 1,402 "," 9,749 "," 24,954 "," 71,209 "," 45,001 "," 35,482 "," 40,912 "," 33,416 "," 33,257 "," 38,750 "," 35,968 "," 37,999 "," 50,382 "," 61,814 "," 64,539 "," 45,379 "," 37,993 "," 36,645 "," 26,867 "," 6,402 "
한성대,승차," 8,452 "," 16,296 "," 42,442 "," 54,506 "," 34,585 "," 26,696 "," 26,441 "," 28,586 "," 31,143 "," 28,645 "," 33,411 "," 38,903 "," 39,381 "," 43,148 "," 29,538 "," 24,886 "," 24,545 "," 27,969 "," 11,768 "," 1,788 "
,하차," 1,302 "," 10,416 "," 44,203 "," 48,472 "," 39,274 "," 27,710 "," 23,696 "," 27,889 "," 28,882 "," 27,565 "," 29,896 "," 28,502 "," 36,459 "," 41,502 "," 40,420 "," 29,695 "," 26,739 "," 26,236 "," 19,802 "," 15,215 "
혜 화,승차," 8,005 "," 12,474 "," 23,966 "," 32,789 "," 30,078 "," 35,675 "," 45,545 "," 53,687 "," 62,295 "," 67,557 "," 83,835 "," 93,247 "," 114,600 "," 138,555 "," 99,589 "," 95,319 "," 141,567 "," 155,198 "," 75,564 "," 8,099 "
,하차," 2,290 "," 19,882 "," 62,504 "," 132,271 "," 119,734 "," 87,539 "," 73,473 "," 84,916 "," 100,558 "," 109,801 "," 95,686 "," 88,087 "," 107,650 "," 143,558 "," 129,929 "," 57,524 "," 39,104 "," 29,927 "," 21,219 "," 7,687 "
동대문(4),승차," 9,310 "," 7,986 "," 8,221 "," 12,079 "," 17,372 "," 25,519 "," 33,745 "," 40,287 "," 50,976 "," 62,831 "," 77,064 "," 83,856 "," 104,076 "," 108,255 "," 70,861 "," 47,044 "," 41,088 "," 36,997 "," 19,403 "," 2,278 "
,하차," 1,978 "," 20,057 "," 57,357 "," 106,973 "," 90,016 "," 68,208 "," 58,306 "," 51,652 "," 52,458 "," 55,998 "," 49,848 "," 40,243 "," 32,559 "," 29,972 "," 32,813 "," 26,166 "," 19,165 "," 11,838 "," 7,227 "," 2,854 "
동운(4),승차," 9,842 "," 10,165 "," 10,808 "," 13,114 "," 13,620 "," 14,582 "," 20,168 "," 24,960 "," 32,868 "," 40,877 "," 49,088 "," 58,327 "," 66,729 "," 84,640 "," 72,118 "," 57,163 "," 51,809 "," 51,396 "," 34,182 "," 5,154 "
,하차," 1,399 "," 14,448 "," 26,314 "," 76,158 "," 52,944 "," 44,263 "," 40,325 "," 41,603 "," 46,757 "," 50,780 "," 47,112 "," 42,226 "," 40,001 "," 42,239 "," 50,243 "," 38,086 "," 29,799 "," 21,292 "," 13,688 "," 4,500 "
충무로,승차," 4,315 "," 6,134 "," 12,046 "," 19,378 "," 23,025 "," 25,805 "," 33,119 "," 38,350 "," 49,987 "," 53,164 "," 61,916 "," 68,155 "," 86,929 "," 160,621 "," 130,204 "," 85,377 "," 85,995 "," 77,093 "," 40,600 "," 7,417 "
,하차," 2,590 "," 21,882 "," 66,441 "," 256,759 "," 153,897 "," 82,629 "," 64,220 "," 57,855 "," 60,923 "," 57,851 "," 52,109 "," 48,952 "," 49,394 "," 53,688 "," 42,840 "," 23,695 "," 16,558 "," 13,637 "," 9,661 "," 3,932 "
명 동,승차," 1,299 "," 2,458 "," 4,511 "," 7,598 "," 13,222 "," 17,568 "," 25,781 "," 33,864 "," 45,213 "," 58,159 "," 74,091 "," 92,087 "," 110,994 "," 148,324 "," 127,509 "," 121,109 "," 143,024 "," 135,660 "," 47,692 "," 3,636 "
,하차," 1,072 "," 17,662 "," 54,675 "," 155,827 "," 118,988 "," 79,032 "," 73,688 "," 85,987 "," 97,166 "," 100,155 "," 98,417 "," 93,766 "," 104,961 "," 102,394 "," 77,862 "," 39,084 "," 19,324 "," 9,858 "," 5,365 "," 1,533 "
회 현,승차," 4,074 "," 6,357 "," 10,229 "," 14,269 "," 18,009 "," 24,895 "," 38,682 "," 54,125 "," 70,701 "," 83,892 "," 91,576 "," 99,819 "," 109,352 "," 124,486 "," 87,128 "," 72,045 "," 42,944 "," 25,860 "," 12,495 "," 1,823 "
,하차," 1,663 "," 25,894 "," 57,322 "," 161,902 "," 135,213 "," 85,434 "," 92,971 "," 86,007 "," 79,917 "," 77,667 "," 67,836 "," 50,481 "," 39,909 "," 32,562 "," 22,565 "," 11,422 "," 9,238 "," 10,191 "," 8,053 "," 2,305 "
서울역(4),승차," 3,044 "," 4,219 "," 7,803 "," 13,936 "," 11,492 "," 11,342 "," 12,434 "," 12,329 "," 13,101 "," 12,113 "," 12,240 "," 14,854 "," 17,898 "," 31,208 "," 19,813 "," 13,839 "," 13,450 "," 10,108 "," 5,027 ", 858 
,하차, 905 ," 14,106 "," 28,385 "," 59,567 "," 35,804 "," 24,805 "," 24,133 "," 24,750 "," 29,806 "," 30,316 "," 33,075 "," 34,791 "," 38,526 "," 40,490 "," 34,284 "," 25,919 "," 23,424 "," 18,570 "," 10,414 "," 5,180 "
숙 대,승차," 6,120 "," 11,212 "," 27,701 "," 39,447 "," 26,357 "," 21,873 "," 24,197 "," 26,399 "," 31,520 "," 29,929 "," 35,299 "," 41,626 "," 51,082 "," 61,796 "," 44,994 "," 32,937 "," 35,465 "," 31,804 "," 14,531 "," 1,885 "
,하차," 1,255 "," 11,777 "," 35,835 "," 88,771 "," 48,736 "," 36,972 "," 28,704 "," 29,820 "," 28,606 "," 27,221 "," 25,410 "," 27,605 "," 32,674 "," 41,242 "," 38,340 "," 25,402 "," 22,970 "," 23,585 "," 16,262 "," 3,661 "
삼각지,승차, 842 ," 2,094 "," 5,724 "," 8,746 "," 6,646 "," 5,414 "," 5,875 "," 7,871 "," 9,804 "," 9,216 "," 9,014 "," 9,462 "," 13,034 "," 26,184 "," 16,854 "," 9,876 "," 8,854 "," 7,903 "," 3,294 ", 492 
,하차, 731 ," 6,472 "," 16,253 "," 35,249 "," 15,359 "," 12,181 "," 12,360 "," 12,624 "," 11,782 "," 10,715 "," 11,082 "," 10,438 "," 11,383 "," 13,765 "," 12,524 "," 7,239 "," 6,605 "," 6,575 "," 4,257 "," 1,385 "
신용산,승차," 2,722 "," 6,150 "," 15,073 "," 20,559 "," 17,534 "," 16,679 "," 20,083 "," 21,518 "," 26,257 "," 28,455 "," 32,631 "," 36,517 "," 43,461 "," 69,311 "," 60,385 "," 47,613 "," 31,603 "," 26,170 "," 12,792 "," 1,921 "
,하차," 1,152 "," 10,714 "," 31,395 "," 93,774 "," 69,207 "," 36,708 "," 29,829 "," 30,191 "," 32,468 "," 31,154 "," 31,310 "," 30,559 "," 30,999 "," 37,248 "," 29,311 "," 17,819 "," 14,554 "," 13,135 "," 8,053 "," 2,054 "
이 촌,승차, 959 ," 4,080 "," 12,302 "," 19,053 "," 12,055 "," 10,731 "," 14,924 "," 18,583 "," 19,485 "," 22,668 "," 20,621 "," 27,182 "," 31,493 "," 31,985 "," 15,026 "," 9,692 "," 9,762 "," 7,228 "," 2,473 ", 253 
,하차, 853 ," 12,039 "," 19,887 "," 35,168 "," 29,996 "," 17,299 "," 16,819 "," 17,471 "," 20,563 "," 20,350 "," 17,125 "," 15,319 "," 14,705 "," 18,205 "," 16,681 "," 10,484 "," 9,030 "," 8,895 "," 5,719 "," 1,897 "
동 작,승차, 705 ," 2,780 "," 7,718 "," 12,209 "," 9,002 "," 6,824 "," 8,462 "," 7,846 "," 6,957 "," 7,141 "," 8,091 "," 7,837 "," 8,755 "," 11,264 "," 6,692 "," 4,356 "," 3,143 "," 2,520 "," 1,038 ", 160 
,하차, 312 ," 4,335 "," 6,686 "," 14,867 "," 8,561 "," 5,199 "," 4,965 "," 6,796 "," 7,016 "," 6,733 "," 6,517 "," 7,600 "," 8,662 "," 9,223 "," 8,135 "," 5,858 "," 5,007 "," 4,509 "," 3,109 ", 964 
총신대,승차," 9,235 "," 25,112 "," 68,737 "," 100,562 "," 60,950 "," 44,741 "," 41,607 "," 42,023 "," 43,037 "," 40,587 "," 40,130 "," 40,140 "," 43,223 "," 54,705 "," 41,809 "," 34,741 "," 31,918 "," 28,482 "," 15,424 "," 1,930 "
,하차," 1,094 "," 13,095 "," 26,021 "," 60,284 "," 46,592 "," 29,603 "," 30,051 "," 34,508 "," 37,539 "," 40,670 "," 46,848 "," 54,374 "," 67,594 "," 95,743 "," 93,400 "," 63,246 "," 56,352 "," 57,793 "," 37,546 "," 10,558 "
사당(4),승차," 12,640 "," 32,077 "," 90,179 "," 121,773 "," 85,433 "," 57,495 "," 52,123 "," 52,127 "," 55,586 "," 51,215 "," 48,829 "," 51,416 "," 61,714 "," 74,536 "," 58,021 "," 44,821 "," 45,749 "," 48,776 "," 25,147 "," 3,197 "
,하차," 2,435 "," 20,684 "," 39,923 "," 62,770 "," 49,210 "," 34,835 "," 31,742 "," 31,163 "," 32,002 "," 31,037 "," 32,944 "," 39,538 "," 50,574 "," 72,471 "," 69,209 "," 46,874 "," 45,369 "," 47,597 "," 34,915 "," 16,260 "
남태령,승차, 388 , 878 ," 2,127 "," 2,921 "," 2,280 "," 2,116 "," 1,928 "," 1,941 "," 2,078 "," 1,843 "," 2,472 "," 3,448 "," 3,125 "," 3,190 "," 2,014 "," 1,046 ", 806 , 539 , 227 , 51 
,하차, 77 ," 1,384 "," 3,142 "," 6,474 "," 2,042 "," 1,529 "," 1,361 "," 1,471 "," 1,522 "," 1,413 "," 1,421 "," 2,067 "," 1,857 "," 2,344 "," 2,171 "," 1,374 "," 1,460 "," 1,515 "," 1,014 ", 387 
